point_no,lat_lng,label,adj,is_marker
42,"12.7509808358752,80.1940226106241",workshop back entrance,"47,41",0
43,"12.7514636423561,80.1942729629008",workshop road 1,"44,37,36",0
44,"12.7506256672939,80.1942938255942",workshop road 2,"45,43",0
45,"12.750588670537,80.1941439935391",Incubation_Center,"47,44",1
46,"12.7505609229671,80.1936394957775",Physics_Chemistry_Laboratory,"52,50,49,48",1
47,"12.7506756129029,80.1936413923856",Workshop,"48,45",1
48,"12.7506571145297,80.1935389755468",Mini_Auditorium,"47,46",1
49,"12.7504536323323,80.193487767121",phy chem lab car parking ,"52,50,46",0
50,"12.7501188112743,80.1936072534329",phy chem lab back entrance,"51,49,46",0
51,"12.7502372135036,80.1941859901943",auto garage entrance,"53,50",0
52,"12.75061851466,80.1931427641614",humanities to miniaudi road,"49,46,32,31",0
53,"12.7502709396743,80.195217787311",ECE back to rishabs road,"63,54,51",0
54,"12.7506259532775,80.1952059392028",rishabs to mini audi road,"129,53,44",0
55,"12.75148425889,80.195203239024",mech to rishabs right turn,"58,56,37",0
56,"12.7513746397544,80.1951636095623",Snow_Cube,"57,55",1
57,"12.7512948499816,80.1952065249072",Rishab's_Food_Stall,"129,56",1
58,"12.7514936703604,80.1953983028481",mech to admin turn,"59,55",0
59,"12.7516244731506,80.1954506059247",Admin_Block,"130,58",1
60,"12.7507781065988,80.1961231967501",ECE_Department,"125,124,123,61",1
61,"12.7505570069384,80.1960860144032",ECE_Annexure_Block,"62,60",1
